id,name,main_ocid,main_id,tender_id
21415,AFFINITY EDUCATIONAL CONSULTANTS CC,ocds-9t57fa-102049,ocds-9t57fa-102049-2020-02-28T00:00:00Z,102049
23913,MAAA0006299 - (VODACOM),ocds-9t57fa-116998,ocds-9t57fa-116998-2020-03-17T00:00:00Z,116998
1555,vishan,ocds-9t57fa-1947,ocds-9t57fa-1947-2020-07-16T00:00:00Z,1947
11377,1.Accenture 2.Baraka IT Solutions 3.Tech Mahindra SA(Pty) Ltd 4.Klarib Business Solutions 5.Zimele Technologies,ocds-9t57fa-32088,ocds-9t57fa-32088-2020-02-14T00:00:00Z,32088
80929,RED ALERT TSS,ocds-9t57fa-152537,ocds-9t57fa-152537-2020-10-01T00:00:00Z,152537
