id,title,description,status,value_amount,value_currency,main_ocid,main_id
13720,UBUNTU TECHNOLOGY,GEN,active,0,ZAR,ocds-9t57fa-48122,ocds-9t57fa-48122-2023-03-03T00:00:00Z
11712,ONECONNECT SOLUTIONS,GEN,active,0,ZAR,ocds-9t57fa-48868,ocds-9t57fa-48868-2023-03-10T00:00:00Z
18301,Setchaba Supplier and Developers ,EME,active,102357475.0,ZAR,ocds-9t57fa-48890,ocds-9t57fa-48890-2023-03-10T00:00:00Z
20068,GXEKOKWAKHAYO TRADING PROJECTS,EME,active,6000874.0,ZAR,ocds-9t57fa-49508,ocds-9t57fa-49508-2023-03-17T00:00:00Z
22147,IKAPA RETICULATION AND FLOW,EME,active,14363805.0,ZAR,ocds-9t57fa-49542,ocds-9t57fa-49542-2023-03-17T00:00:00Z
10784,Mveloyotho Trading,EME,active,0.0,ZAR,ocds-9t57fa-49615,ocds-9t57fa-49615-2023-03-17T00:00:00Z
14531,Lifesaving South Africa,EME,active,0,ZAR,ocds-9t57fa-50183,ocds-9t57fa-50183-2023-03-25T00:00:00Z
20865,NEXTEC ADVISORY,EME,active,4000000.0,ZAR,ocds-9t57fa-50260,ocds-9t57fa-50260-2023-03-25T00:00:00Z
20866,NEDBANK,EME,active,9660526.0,ZAR,ocds-9t57fa-50261,ocds-9t57fa-50261-2023-03-25T00:00:00Z
12829,GR CABINETS AND FITTINGS,EME,active,172454.0,ZAR,ocds-9t57fa-51888,ocds-9t57fa-51888-2023-04-14T00:00:00Z
14793,HCB VALUATIONS AND SERVICES,EME,active,0,ZAR,ocds-9t57fa-52561,ocds-9t57fa-52561-2023-04-22T00:00:00Z
42656,SKHOTHAHLA CONSTRUCTION AND INVESTMENTS,QSE,active,0.0,ZAR,ocds-9t57fa-52595,ocds-9t57fa-52595-2023-04-22T00:00:00Z
21910,MAPHUPHU TRADING AND PROJECTS,EME,active,6521022.0,ZAR,ocds-9t57fa-53335,ocds-9t57fa-53335-2023-05-05T00:00:00Z
14804,METROFILE,EME,active,474917289.84,ZAR,ocds-9t57fa-53505,ocds-9t57fa-53505-2023-05-05T00:00:00Z
31176, (HCPM TRADING),EME,active,500000.0,ZAR,ocds-9t57fa-53585,ocds-9t57fa-53585-2023-05-06T00:00:00Z
17462,Zizi Ka Jama Electrical And Trading Enterprise,EME,active,0,ZAR,ocds-9t57fa-53589,ocds-9t57fa-53589-2023-05-06T00:00:00Z
14675,JUNOSCAN TRADING,EME,active,0,ZAR,ocds-9t57fa-54667,ocds-9t57fa-54667-2023-05-19T00:00:00Z
17663,FULLSERVE SERVICES,GEN,active,0,ZAR,ocds-9t57fa-55471,ocds-9t57fa-55471-2023-05-27T00:00:00Z
39725, (B M POWER),EME,active,18212456.0,ZAR,ocds-9t57fa-56943,ocds-9t57fa-56943-2023-06-10T00:00:00Z
15163,N T A ENGINEERING AND PROJECTS,EME,active,0,ZAR,ocds-9t57fa-57008,ocds-9t57fa-57008-2023-06-09T00:00:00Z
19364,University of Johannesburg,EME,active,1422000.0,ZAR,ocds-9t57fa-57055,ocds-9t57fa-57055-2023-06-09T00:00:00Z
18387,CAVALDO TRADING,EME,active,985096.0,ZAR,ocds-9t57fa-57137,ocds-9t57fa-57137-2023-06-10T00:00:00Z
21913,NOZULU AND NGONYAMA TRADING ENTERPRISE,EME,active,6357294.0,ZAR,ocds-9t57fa-57468,ocds-9t57fa-57468-2023-06-15T00:00:00Z
15318,TRANSAND,QSE,active,0,ZAR,ocds-9t57fa-57538,ocds-9t57fa-57538-2023-06-15T00:00:00Z
16470,Midron Construction and Property Development,EME,active,0,ZAR,ocds-9t57fa-58341,ocds-9t57fa-58341-2023-06-23T00:00:00Z
16625,GRAMSAK,GEN,active,264000.0,ZAR,ocds-9t57fa-58396,ocds-9t57fa-58396-2023-06-24T00:00:00Z
18914,MARIBELO TRADING AND PROJECTS,EME,active,3324707.0,ZAR,ocds-9t57fa-58968,ocds-9t57fa-58968-2023-06-30T00:00:00Z
20638,Litha Communications,QSE,active,0.0,ZAR,ocds-9t57fa-59592,ocds-9t57fa-59592-2023-07-07T00:00:00Z
16050,MENTOLEK PROJECTS,EME,active,0,ZAR,ocds-9t57fa-59639,ocds-9t57fa-59639-2023-07-07T00:00:00Z
39692, (GAP MANAGEMENT),EME,active,5489840.0,ZAR,ocds-9t57fa-60257,ocds-9t57fa-60257-2023-07-15T00:00:00Z
16978,Mabel and Sons Trading Securities,EME,active,0,ZAR,ocds-9t57fa-60274,ocds-9t57fa-60274-2023-07-14T00:00:00Z
20478,UMBUSO TRAINING SERVICES,EME,active,337603.0,ZAR,ocds-9t57fa-60349,ocds-9t57fa-60349-2023-07-15T00:00:00Z
19591,SNG GRANT THORNTON,EME,active,1993686.0,ZAR,ocds-9t57fa-60914,ocds-9t57fa-60914-2023-07-21T00:00:00Z
19895,Sun Electricity,QSE,active,1557015.0,ZAR,ocds-9t57fa-61028,ocds-9t57fa-61028-2023-07-21T00:00:00Z
25631, (TODANI),EME,active,0.0,ZAR,ocds-9t57fa-61475,ocds-9t57fa-61475-2023-07-28T00:00:00Z
27562, (KATLANTIC),QSE,active,1.0,ZAR,ocds-9t57fa-61696,ocds-9t57fa-61696-2023-07-28T00:00:00Z
18986,DATACENTRIX,EME,active,5600000.0,ZAR,ocds-9t57fa-61833,ocds-9t57fa-61833-2023-07-29T00:00:00Z
40871, (MNANGWE BROS ENTERPRISES),EME,active,1029162025.0,ZAR,ocds-9t57fa-62874,ocds-9t57fa-62874-2023-08-11T00:00:00Z
27243, (A T C),QSE,active,34500000.0,ZAR,ocds-9t57fa-62996,ocds-9t57fa-62996-2023-08-11T00:00:00Z
23708,UMCEBO WE AFRICA TRADING AND PROJECTS,EME,active,2959077.0,ZAR,ocds-9t57fa-63142,ocds-9t57fa-63142-2023-08-11T00:00:00Z
21988,Reabusa Construction and Supplies ,EME,active,19948497.0,ZAR,ocds-9t57fa-63192,ocds-9t57fa-63192-2023-08-11T00:00:00Z
17761,TSHIKILELA CONSTRUCTION AND SOLUTIONS,EME,active,3910337.64,ZAR,ocds-9t57fa-64030,ocds-9t57fa-64030-2023-08-18T00:00:00Z
28416, (ICE GEE),GEN,active,350000.0,ZAR,ocds-9t57fa-64674,ocds-9t57fa-64674-2023-08-24T00:00:00Z
39678, (KRONE CIVILS AND TRADING),EME,active,1541649750.0,ZAR,ocds-9t57fa-64761,ocds-9t57fa-64761-2023-08-25T00:00:00Z
31018, (SBM ENGINEERING SERVICES),EME,active,127491815.0,ZAR,ocds-9t57fa-64762,ocds-9t57fa-64762-2023-08-25T00:00:00Z
36781, (GMT NTIBANE MASAKHANE),GEN,active,423985853.0,ZAR,ocds-9t57fa-65592,ocds-9t57fa-65592-2023-09-01T00:00:00Z
36812, (MOTHIKENI INVESTMENTS),GEN,active,511198628.0,ZAR,ocds-9t57fa-65615,ocds-9t57fa-65615-2023-09-01T00:00:00Z
48030,METADI GENERAL TRADING,GEN,active,261728670.0,ZAR,ocds-9t57fa-65627,ocds-9t57fa-65627-2023-09-01T00:00:00Z
47995,VANDLANA CONSTRUCTION,GEN,active,439982571.0,ZAR,ocds-9t57fa-65648,ocds-9t57fa-65648-2023-09-01T00:00:00Z
30538, (MTHENTE RESEARCH AND CONSULTING SERVICES),QSE,active,726480.0,ZAR,ocds-9t57fa-65703,ocds-9t57fa-65703-2023-09-01T00:00:00Z
20193,Full swing Trading 458,QSE,active,60000000.0,ZAR,ocds-9t57fa-66461,ocds-9t57fa-66461-2023-09-08T00:00:00Z
16705,K2018386644 (South Africa),EME,active,0,ZAR,ocds-9t57fa-67850,ocds-9t57fa-67850-2023-05-06T00:00:00Z
49105,RESOURCE INNOVATIONS AFRICA,GEN,active,3363562843.0,ZAR,ocds-9t57fa-68727,ocds-9t57fa-68727-2023-09-29T00:00:00Z
33875, (KEEWAVE TRADING 334),GEN,active,13268000.0,ZAR,ocds-9t57fa-68939,ocds-9t57fa-68939-2023-09-30T00:00:00Z
20538,GEM PRINT,EME,active,3000000.0,ZAR,ocds-9t57fa-69639,ocds-9t57fa-69639-2023-10-06T00:00:00Z
21257,Rhynyx Technologies,EME,active,126140.0,ZAR,ocds-9t57fa-70133,ocds-9t57fa-70133-2023-10-13T00:00:00Z
