id,name,main_ocid,main_id,tender_id
2341,DOREMA TRAVEL T/A ULTIMATE TRAVEL CC,ocds-9t57fa-8257,ocds-9t57fa-8257-2021-10-01T00:00:00Z,8257
2345,CLUB CORPORATE TRAVEL (PTY) LTD T/A CLUB TRAVEL CORPORATE,ocds-9t57fa-8257,ocds-9t57fa-8257-2021-10-01T00:00:00Z,8257
2099,Travel with Flair,ocds-9t57fa-890,ocds-9t57fa-890-2021-05-13T00:00:00Z,890
2618,Integrators of Systems Technology (Pty) Ltd and Hitachi Energy South Africa (Pty) Ltd,ocds-9t57fa-14428,ocds-9t57fa-14428-2021-12-24T00:00:00Z,14428
3627,SSG Cleaning services,ocds-9t57fa-24691,ocds-9t57fa-24691-2021-04-01T00:00:00Z,24691
4641,GLOBAL COMPUTING AND TELECOMS,ocds-9t57fa-32816,ocds-9t57fa-32816-2021-03-26T00:00:00Z,32816
3492,CT LAB(Pty) Ltd,ocds-9t57fa-3568,ocds-9t57fa-3568-2021-07-09T00:00:00Z,3568
9061,"MAAA0081832, MAAA0081832, MAAA0771183",ocds-9t57fa-52648,ocds-9t57fa-52648-2021-04-01T00:00:00Z,52648
4475,Maphelo Wellness Solutions cc,ocds-9t57fa-11407,ocds-9t57fa-11407-2021-11-12T00:00:00Z,11407
3660,MAAA0015907,ocds-9t57fa-11429,ocds-9t57fa-11429-2021-11-12T00:00:00Z,11429
1509,fdghyuju,ocds-9t57fa-11444,ocds-9t57fa-11444-2021-11-12T00:00:00Z,11444
1862,Training B2B CC,ocds-9t57fa-11601,ocds-9t57fa-11601-2021-11-12T00:00:00Z,11601
108,RAM International Insurance Brokers (Pty) Ltd ,ocds-9t57fa-3688,ocds-9t57fa-3688-2021-07-22T00:00:00Z,3688
5585,The Human Edge (Pty) Ltd,ocds-9t57fa-37890,ocds-9t57fa-37890-2021-11-19T00:00:00Z,37890
2975,Lunika ,ocds-9t57fa-3942,ocds-9t57fa-3942-2021-07-29T00:00:00Z,3942
9294,"""1 Africa Consulting; 3rd Level Marketing & Media Group;12 Inch Production cc; Africomm Media; Agile Marketing; Ally M Promotions; African Life Travel Events (ALT); Alvi Gordon; Amaxhanthi Projects & Services; Ambani Reputation Management; Analytics Advertising; Anzomode; A-Plus Communications; Back-2 Basics Media; Battalion Communications; Baupa Trading Enterprise; BBR Investment Holdings & Silver Merci JV; Be Sure Events; Black Inc.; Black Pepper Events and Media Corp; Blueprint Advertising & Bluemoon JV; Bonteous Events; Born For This Media; Brand Leadership; Brandhill Africa; Bravado Group; Breeze Web Design Advertising; Britespark Communications; Busi Ntuli Communications; Catgraphics; Cheniwell Marketing Communications; Chilo Group; C-Squared Consumer Connect; Cut to Black Media; Dogan Exhibitions & Events; Ebonoko Holdings; Entice Communications & Media; Envision Brand; XhibitIT; Fezkho Communications; Fore-Front Solutions; FR Communications; Gaeitsiwe Group; Garona Communications & Projects; Genius VIP; Giants Creative & Events; Gift Exposure & Branding; Hayloft Pty Ltd; Hello FCB; Hiside Eventing; Horizon Media & Marketing; Hot Head Media; Ibizo Projects & Media t/a Lospepes-Ibizo; Ikhono Thrive Global; Indingliz Advertising and Marketing; Inspiril Marketing Solutions; Lucreitia M; JMS Communications JV with ML Clarke & Co.; Radioactive Media and Shanshan Communications; Jobe Creatives; Joren Communications; Kathema Pty Ltd; Kakgo TYL Events; Kena Outdoor; Khayamnandi Enterprise; Khazimla Communications & Mgudlwa Communications JV; KM Holdings; Bleb & KTM 1 JV; Kwanza Communications; Let’s Settle Our Dues Corporation; Lime Grass Marketing; Lindiwe Mafaesa Pty Ltd; Litha Communications; Lom Events Solutions; Magna Carta; Motshete Trading Enterprise; Mason Show Management; Media Mansion; Media Tact; Moondawn Media & Communications; Morebo Events; Mpho Entle; Mubvumo Media; Nalesa Events; Ndabana Media Production; Nethwork BBDO t/a Net#work BBDO Pty Ltd; NIN Holdings; NLS Promotions; Nolo Communications; Obrian Digital; Oreom Marketing; Pablo K; Page 82; Paperpush Productions; Phaswana Productions; Pimp My Computer Cat; PR Brand; Primetime Studios; RBJ Marketing; Reabetswe Communications & Events; Red Cherry Interactive; Red Switch MC;Redlife; Retrolex Consultancy; Roadshow Marketing; Roth Media; Sadmon Social Impact Agency; Sanda Kahle; Snapped Concepts; Splendid Marketing; Stamp Communications; Stratnnovate; Synergy Business Events; Tau Ya Phoka; Thagisho Tradings; The Media & Writers Firm; Thotbox; Thulima Events Management; Tomato Green; Tsalena Media; Tsenelo Ads Marketing; Tumo Ya Botse Trading; Two Tone Global; Wozani Advertising; Xivaningi; Xtreme Content; Zindela Communications; Zizi Digital; 882 People; Moshate Communications;  Khanya PR;  Dots Design Agency; Azwina Trading Enterprise""",ocds-9t57fa-4021,ocds-9t57fa-4021-2021-07-30T00:00:00Z,4021
1055,Process Tools & Industrials Supplies cc,ocds-9t57fa-4831,ocds-9t57fa-4831-2021-08-13T00:00:00Z,4831
531,Independent Examination Board,ocds-9t57fa-5088,ocds-9t57fa-5088-2021-08-20T00:00:00Z,5088
4601,EnviroServ Waste Management (Pty) Ltd,ocds-9t57fa-6128,ocds-9t57fa-6128-2021-09-03T00:00:00Z,6128
2304,LKA Advisory and Assurance Services (Pty)Ltd,ocds-9t57fa-6626,ocds-9t57fa-6626-2021-09-10T00:00:00Z,6626
961,Ayiq (Pty) Ltd,ocds-9t57fa-6640,ocds-9t57fa-6640-2021-09-10T00:00:00Z,6640
4607,High Access Projects (Cape) (Pty) Ltd,ocds-9t57fa-8185,ocds-9t57fa-8185-2021-10-01T00:00:00Z,8185
855,Phandu Communications; Galix Networking; Alpha Secure Networks; Foursight It Business Solutions,ocds-9t57fa-8809,ocds-9t57fa-8809-2021-10-08T00:00:00Z,8809
969,Bluenile Consulting and MO2C Synergy cc,ocds-9t57fa-9329,ocds-9t57fa-9329-2021-10-15T00:00:00Z,9329
4022,AfriCoast Consulting Engineers (Pty) Ltd,ocds-9t57fa-10848,ocds-9t57fa-10848-2021-11-05T00:00:00Z,10848
3088,AYANDA MBANGA COMMUNICATIONS (PTY) LTD,ocds-9t57fa-1597,ocds-9t57fa-1597-2021-05-27T00:00:00Z,1597
1263,Community Organisation Resource Centre,ocds-9t57fa-2239,ocds-9t57fa-2239-2021-06-11T00:00:00Z,2239
1022,NUTECH INDUSTRIAL CC,ocds-9t57fa-4802,ocds-9t57fa-4802-2021-08-13T00:00:00Z,4802
1513,MASHELENI TRADING AND PROJECTS; Drop Dot (Pty) Ltd; Esor Construction (Pty) Ltd; Barzani Group (Pty) Ltd,ocds-9t57fa-6206,ocds-9t57fa-6206-2021-09-03T00:00:00Z,6206
623,Nathoo Mbenyane Eng,ocds-9t57fa-7263,ocds-9t57fa-7263-2021-09-17T00:00:00Z,7263
3301,Invoke Solution (Pty) Ltd,ocds-9t57fa-8302,ocds-9t57fa-8302-2021-10-02T00:00:00Z,8302
11425,WCB Holdings,ocds-9t57fa-9873,ocds-9t57fa-9873-2021-10-22T00:00:00Z,9873
2953,Club Corporate Travel (Pty) Ltd t/a Club Travel Corporate,ocds-9t57fa-7412,ocds-9t57fa-7412-2021-09-23T00:00:00Z,7412
1528,Ploy Media (Pty) Ltd,ocds-9t57fa-10373,ocds-9t57fa-10373-2021-10-29T00:00:00Z,10373
1205,1. Nexor 312 t/a VNA Consulting,ocds-9t57fa-10470,ocds-9t57fa-10470-2021-10-29T00:00:00Z,10470
3990,Kgarebana Civil and Structural Engineers (Pty) Ltd,ocds-9t57fa-10854,ocds-9t57fa-10854-2021-11-05T00:00:00Z,10854
10193,Molefi Business Experts Consulting,ocds-9t57fa-11078,ocds-9t57fa-11078-2021-11-12T00:00:00Z,11078
2518,Actom Protection and Control (a division of Actom Pty (Ltd)),ocds-9t57fa-11441,ocds-9t57fa-11441-2021-11-12T00:00:00Z,11441
1716,Guthrie and Theron,ocds-9t57fa-12249,ocds-9t57fa-12249-2021-11-19T00:00:00Z,12249
3623, Bongani Rainmaker Logistics (Pty) Ltd consortium CTP Limited a subsidiary of Caxton and CTP Publishers and Printers Limited and Shumani RSA (Vizirama 171 (Pty) Ltd)  Lebone litho – Novus – DSV consortium  440 Printers (Pty) Ltd,ocds-9t57fa-12322,ocds-9t57fa-12322-2021-11-19T00:00:00Z,12322
3141,Mdibi Tours Logistics and Projects cc,ocds-9t57fa-13839,ocds-9t57fa-13839-2021-12-10T00:00:00Z,13839
3698,Sihle Civil & Projects Development -R 19 637 409.55,ocds-9t57fa-14055,ocds-9t57fa-14055-2021-12-10T00:00:00Z,14055
5772,INSURVEY (PTY) LTD,ocds-9t57fa-1663,ocds-9t57fa-1663-2021-05-28T00:00:00Z,1663
112,Mokotedi Group Services ,ocds-9t57fa-1779,ocds-9t57fa-1779-2021-06-04T00:00:00Z,1779
113,Innovative ICT Solutions (MBV IT),ocds-9t57fa-1779,ocds-9t57fa-1779-2021-06-04T00:00:00Z,1779
115,Redwill ICT CC,ocds-9t57fa-1779,ocds-9t57fa-1779-2021-06-04T00:00:00Z,1779
122,M.Factory ,ocds-9t57fa-1779,ocds-9t57fa-1779-2021-06-04T00:00:00Z,1779
261,Itec ,ocds-9t57fa-266,ocds-9t57fa-266-2021-04-29T00:00:00Z,266
262,Itec Ricoh First Technology Data Centrix Konica Minolta SA Rena Business Solutions MBV IT Motswako Edusolution Bookshop Sizwe Africa IT Green Asphalt Esizwe Nashua Sky Metro Equipment ,ocds-9t57fa-266,ocds-9t57fa-266-2021-04-29T00:00:00Z,266
1195,Millstone Construction ,ocds-9t57fa-2850,ocds-9t57fa-2850-2021-06-25T00:00:00Z,2850
2655,Ahlula CC,ocds-9t57fa-3573,ocds-9t57fa-3573-2021-07-09T00:00:00Z,3573
2660,Excellent Example (Pty) Ltd,ocds-9t57fa-3573,ocds-9t57fa-3573-2021-07-09T00:00:00Z,3573
2662,Hlangu's 86 Trading Enterprise cc,ocds-9t57fa-3573,ocds-9t57fa-3573-2021-07-09T00:00:00Z,3573
6334,Schindlers Forensics (Pty)Ltd,ocds-9t57fa-40560,ocds-9t57fa-40560-2021-04-29T00:00:00Z,40560
2034,Thato Yabagotsi JV SCM Facilities Services ,ocds-9t57fa-4498,ocds-9t57fa-4498-2021-08-06T00:00:00Z,4498
461,Enterprises University of Pretoria (Pty) Ltd Improvement Acuity Management T/A Bukhosi Concepts Dixoflex (Pty) Ltd Daltim Consultancy (pty) Ltd MK People Skills (Pty) Ltd Manto Management (Pty) Ltd NKA Management Services Learning Strategies (Pty) Ltd SPT Consulting cc 21st Century OD (Pty) Ltd Mogale Solutions Providers (MSP) Letsema Consulting and Advisory (Pty) Ltd Management Consulting and Advisory Services (MANCAS) Pty Ltd HTL Advisors t/a Africa International Advisors Lekoko Consulting  Gestaldt Consulting Group PricewaterhouseCoopers Advisory Services (PWC) (Pty) Ltd Fevertree Consulting` Ernest and Young Advisory Services (Pty) Ltd  Vortex Strategic Alignment Michael Gering and Associates Pegasys (Pty) Ltd Dice Advisory Services ,ocds-9t57fa-5058,ocds-9t57fa-5058-2021-08-20T00:00:00Z,5058
1088,1. Newsclip Media Monitoring,ocds-9t57fa-5701,ocds-9t57fa-5701-2021-08-27T00:00:00Z,5701
1091,4. BlueCloudAI,ocds-9t57fa-5701,ocds-9t57fa-5701-2021-08-27T00:00:00Z,5701
594,ABMI Research Institute (Pty) Ltd Koboro Elcort Matlala MFUNDO197 (Pty) Ltd  Dupleix Institute The Institute of Risk Management South Africa (IRMSA) Tigap (Pty) Ltd Dikeyla Holdings Lebone La Africa Consultants  Mazars Advisory (Pty) Ltd  Elula Group (Pty) Ltd  Group Dynamics (Pty) Ltd Renda Capital (Pty) Ltd  Resilient Advisory (Pty) Ltd ,ocds-9t57fa-6208,ocds-9t57fa-6208-2021-09-03T00:00:00Z,6208
611,Biz Afrika Construction and Civils cc,ocds-9t57fa-6606,ocds-9t57fa-6606-2021-09-10T00:00:00Z,6606
1343,Affirmative Portfolios ,ocds-9t57fa-7212,ocds-9t57fa-7212-2021-09-17T00:00:00Z,7212
1344,Amasiko Trading Enterprise (Pty) Ltd ,ocds-9t57fa-7212,ocds-9t57fa-7212-2021-09-17T00:00:00Z,7212
1361,Nkwali M Consulting (Pty) Ltd,ocds-9t57fa-7212,ocds-9t57fa-7212-2021-09-17T00:00:00Z,7212
1345,Cletech Holdings (Pty) Ltd ,ocds-9t57fa-7212,ocds-9t57fa-7212-2021-09-17T00:00:00Z,7212
1363,People Dynamics Human Solutions (Pty) Ltd,ocds-9t57fa-7212,ocds-9t57fa-7212-2021-09-17T00:00:00Z,7212
635,Kulani EC ,ocds-9t57fa-7266,ocds-9t57fa-7266-2021-09-17T00:00:00Z,7266
2616,1. SINAC group	2.  Xabeliqha projects 3.  Associated chemical enterprise 4.  Vikazu trading 5. United scientific 6. NEEMA	7. Chemoquip pty (ltd) 8. Zondo analytical equipment & services 9. SCIPROFS,ocds-9t57fa-8275,ocds-9t57fa-8275-2021-10-01T00:00:00Z,8275
6786,XTND (Pty) Ltd – Servaas du Plessis,ocds-9t57fa-8301,ocds-9t57fa-8301-2021-10-02T00:00:00Z,8301
6791,Schindlers Forensics (Pty) Ltd,ocds-9t57fa-8301,ocds-9t57fa-8301-2021-10-02T00:00:00Z,8301
1601,Lodemann Holdings,ocds-9t57fa-8834,ocds-9t57fa-8834-2021-10-08T00:00:00Z,8834
735,81 bidders participate,ocds-9t57fa-526,ocds-9t57fa-526-2021-05-05T00:00:00Z,526
21149,SKG AFRICA (PTY) LTD,ocds-9t57fa-100583,ocds-9t57fa-100583-2021-08-20T00:00:00Z,100583
22312,MAAA0014386 - (CALANDRIA 159),ocds-9t57fa-108406,ocds-9t57fa-108406-2021-10-01T00:00:00Z,108406
3582,SGB SMIT POWER MATLA (PTY) LTD,ocds-9t57fa-12911,ocds-9t57fa-12911-2021-11-26T00:00:00Z,12911
1490,tau pele,ocds-9t57fa-13558,ocds-9t57fa-13558-2021-12-03T00:00:00Z,13558
