id,name,main_ocid,main_id,tender_id
9049,Datacentrix (Pty) Ltd Gijima Holdings (Pty) Ltd DELL Computor (Pty) Ltd New Dawn Technologies (Pty) Ltd First Technology Kwazulu Natal Pty Ltd IOT World Busness Connexion (Pty) Ltd Dimension Data (Pty) Ltd    Sizwe Africa IT Group Pty Ltd,ocds-9t57fa-23098,ocds-9t57fa-23098-2017-10-11T00:00:00Z,23098
3944,MVM Hart General Trading,ocds-9t57fa-27932,ocds-9t57fa-27932-2017-02-04T00:00:00Z,27932
4414,Tuleni Godi Kupiso Attorneys,ocds-9t57fa-30422,ocds-9t57fa-30422-2017-02-12T00:00:00Z,30422
9433,MAAA0038069,ocds-9t57fa-54781,ocds-9t57fa-54781-2017-11-08T00:00:00Z,54781
6040,Acctech Systems,ocds-9t57fa-40172,ocds-9t57fa-40172-2017-05-06T00:00:00Z,40172
6032,Vodacom SA,ocds-9t57fa-39933,ocds-9t57fa-39933-2017-05-03T00:00:00Z,39933
