id,title,format,language,description,dateModified,documentType,datePublished,main_ocid,main_id,contracts_id
b06c9e79-2473-4b98-a3f4-1a9e250fcdfd.pdf,Purchase Order #54907.pdf,pdf,en,Request for Proposals for the Appointment of a Service Provider to conduct a Study on the Provision of Free Basis Services by Municipalities,0001-01-01T00:00:00Z,pdf,2023-01-13T12:50:20Z,ocds-9t57fa-44011,ocds-9t57fa-44011-2017-07-04T00:00:00Z,631
01ead7cb-a7fc-41a6-bc8b-599927c10eed.pdf,AMAJOY_DALIWONGA.pdf,pdf,en,Appointment of a service provider for catering services in subsidised hostels of public ordinary schools in the Eastern Cape.,0001-01-01T00:00:00Z,pdf,2025-11-12T13:17:25Z,ocds-9t57fa-139259,ocds-9t57fa-139259-2017-03-31T00:00:00Z,4007
03717f44-45f9-4ec5-9fb4-ea2d70f7b2d6.pdf,EDENYARD_FORT BEAUFORT.pdf,pdf,en,Appointment of a service provider for catering services in subsidised hostels of public ordinary schools in the Eastern Cape.,0001-01-01T00:00:00Z,pdf,2025-11-17T19:17:22Z,ocds-9t57fa-140212,ocds-9t57fa-140212-2017-10-19T00:00:00Z,4031
41777d74-4816-4070-b40b-81f8b4914b44.pdf,INITIAL IDEMIA CONTRACT.pdf,pdf,en,"DESIGN, PROVISION, CUSTOMIZATION, INTEGRATION, MIGRATION OF EXISTING DATA, COMMISSIONING, MAINTENANCE AND SUPPORT OF AN INTERGRADED AUTOMATED BIOMETRIC IDENTIFICATION SYSTEM (ABIS) AND BUSINESS FOR THE DEPARTMENT OF HOME AFFAIRS",0001-01-01T00:00:00Z,pdf,2026-04-09T12:24:43Z,ocds-9t57fa-153178,ocds-9t57fa-153178-2017-11-17T00:00:00Z,4955
b55a8787-962b-4462-9bf0-b3c18a8e0473.pdf,DIKHA SECURITY.pdf,pdf,en,Appointment of security companies in 12 Districts and identify sites on request ,0001-01-01T00:00:00Z,pdf,2025-11-06T11:41:07Z,ocds-9t57fa-139210,ocds-9t57fa-139210-2017-07-13T00:00:00Z,3982
