id,title,dateSigned,description,status,awardID,value_amount,value_currency,period_endDate,period_startDate,period_maxExtentDate,period_durationInDays,main_ocid,main_id
3950,SCMU6-19/20-0008,2025-10-31T14:24:55Z,"To source a Service Provider with expertise in the provisioning of tools, machinery, equipment and consumables in all three (3) areas of specialization in the subject electrical technology in the Eastern Cape Department of Education for a period of three (3) years	",active,49144,0,ZAR,2024-03-08T00:00:00Z,2021-03-09T00:00:00Z,2024-03-08T00:00:00Z,1095,ocds-9t57fa-125559,ocds-9t57fa-125559-2019-08-02T00:00:00Z
4893,PO 04/2019,2026-03-31T15:05:05Z,Fleet Management Services ,active,66281,0,ZAR,2026-09-30T00:00:00Z,2019-04-01T00:00:00Z,2026-09-30T00:00:00Z,2739,ocds-9t57fa-152521,ocds-9t57fa-152521-2019-01-21T00:00:00Z
3947,SCMU6-18/19-0005,2025-10-31T13:08:45Z,"APPOINTMENT OF A SUITABLY QUALIFIED SERVICE PROVIDER FOR THE IMPLEMENTATION OF AN INTEGRATED MARKETING COMMUNICATION STRATEGY, BRANDING, ADVERTISING, EVENTS MANAGEMENT, PUBLIC RELATIONS, THE PRODUCTION OF EDUCATIONAL MATERIALS AND COMMUNICATIONS AS WELL AS TARGETED STAND-ALONE COMMUNICATION CAMPAIGN PROJECTS FOR FLAGSHIP LINE ITEMS I.E INFRASTRUCTURE, EARLY CHILDHOOD DEVELOPMENT, NATIONAL SCHOOL NUTRITION PROGRAMME ETC, IN SUPPORT OF THE OBJECTIVES OF THE EASTERN CAPE DEPARTMENT OF EDUCATION.",active,45975,0,ZAR,2022-09-09T00:00:00Z,2019-09-10T00:00:00Z,2022-09-09T00:00:00Z,1095,ocds-9t57fa-119526,ocds-9t57fa-119526-2019-09-12T00:00:00Z
4032,SCMU6-19/20-0006,2025-11-17T19:26:18Z,"To source a Service Provider with expertise in the provisioning of tools, machinery, equipment and consumables in all three (3) areas of specialization in the subject electrical technology in the Eastern Cape Department of Education for a period of three (3) years",active,58020,0,ZAR,2024-03-08T00:00:00Z,2021-03-09T00:00:00Z,2024-03-08T00:00:00Z,1095,ocds-9t57fa-125566,ocds-9t57fa-125566-2019-08-02T00:00:00Z
273,53035,2022-08-26T10:08:33Z,Request for Proposals for the Appointment of a Panel of Legal Attorneys who will Render Specialized Legal Services to SALGA for a Period of 36 x Months (SALGA/75/2019),active,4148,119175,ZAR,2023-01-31T00:00:00Z,2021-04-01T00:00:00Z,2023-01-31T00:00:00Z,670,ocds-9t57fa-30982,ocds-9t57fa-30982-2019-02-15T00:00:00Z
3949,SCMU6-19/20-0007,2025-10-31T14:14:17Z,"To source a Service Provider with expertise in the provisioning of tools, machinery, equipment and consumables in all three (3) areas of specialization in the subject electrical technology in the Eastern Cape Department of Education for a period of three (3) years",active,46001,0,ZAR,2024-03-08T00:00:00Z,2021-03-09T00:00:00Z,2024-03-08T00:00:00Z,1095,ocds-9t57fa-119529,ocds-9t57fa-119529-2019-06-07T00:00:00Z
782,ACDP 19/02,2023-02-20T09:07:27Z,THE APPOINTMENT OF SERVICE PROVIDER TO AUDIT AGRICULTURAL RELATED FOOD BUSINESS OPERATORS TOWARDS SOUTH AFRICA GOOD AGRICULTURAL PRACTICE (SAGAP) CERTIFICATION FOR A PERIOD OF 3 YEARS,pending,8401,600421,ZAR,2024-02-23T00:00:00Z,2021-04-01T00:00:00Z,2024-02-23T00:00:00Z,1058,ocds-9t57fa-46931,ocds-9t57fa-46931-2019-06-11T00:00:00Z
3948,SCMU6-19/20-0002,2025-10-31T14:01:33Z,Provide intensive support to learners from under-performing schools in the 12 Districts for Eastern Cape Department of Education for period of three (3) years.,active,49143,826000000,ZAR,2023-03-31T00:00:00Z,2020-04-01T00:00:00Z,2023-03-31T00:00:00Z,1094,ocds-9t57fa-125552,ocds-9t57fa-125552-2019-05-17T00:00:00Z
561,BS/2020/CON401,2022-12-02T09:48:47Z,"Provision of integrated computerised ERP system for Accounting, Projects and SCM",active,6280,5353047,ZAR,2022-11-30T00:00:00Z,2021-04-01T00:00:00Z,2022-11-30T00:00:00Z,608,ocds-9t57fa-42170,ocds-9t57fa-42170-2019-10-01T00:00:00Z
