id,title,format,language,description,dateModified,documentType,datePublished,main_ocid,main_id,contracts_id
239c5c0d-5693-4648-80c4-8248daf9f53c.pdf,STORIZ (TOOLS SLA) (3).pdf,pdf,en,"To source a Service Provider with expertise in the provisioning of tools, machinery, equipment and consumables in all three (3) areas of specialization in the subject electrical technology in the Eastern Cape Department of Education for a period of three (3) years	",0001-01-01T00:00:00Z,pdf,2025-10-31T14:24:55Z,ocds-9t57fa-125559,ocds-9t57fa-125559-2019-08-02T00:00:00Z,3950
ece3af5d-d711-42c7-836c-29b466805b8d.pdf,Fleet Entity.pdf,pdf,en,Fleet Management Services ,0001-01-01T00:00:00Z,pdf,2026-03-31T15:05:05Z,ocds-9t57fa-152521,ocds-9t57fa-152521-2019-01-21T00:00:00Z,4893
27a6a2d3-2b64-4ee1-aaae-10175340fd92.pdf,SLA COMMUNICATION FIRM  AND KASIPU CONSULTING CONSORTIUM(1).pdf,pdf,en,"APPOINTMENT OF A SUITABLY QUALIFIED SERVICE PROVIDER FOR THE IMPLEMENTATION OF AN INTEGRATED MARKETING COMMUNICATION STRATEGY, BRANDING, ADVERTISING, EVENTS MANAGEMENT, PUBLIC RELATIONS, THE PRODUCTION OF EDUCATIONAL MATERIALS AND COMMUNICATIONS AS WELL AS TARGETED STAND-ALONE COMMUNICATION CAMPAIGN PROJECTS FOR FLAGSHIP LINE ITEMS I.E INFRASTRUCTURE, EARLY CHILDHOOD DEVELOPMENT, NATIONAL SCHOOL NUTRITION PROGRAMME ETC, IN SUPPORT OF THE OBJECTIVES OF THE EASTERN CAPE DEPARTMENT OF EDUCATION.",0001-01-01T00:00:00Z,pdf,2025-10-31T13:08:45Z,ocds-9t57fa-119526,ocds-9t57fa-119526-2019-09-12T00:00:00Z,3947
9103430a-8836-45da-9ec4-7b56ee5cf1ee.pdf,SLA DAVYLYNN_TOOLS.pdf,pdf,en,"To source a Service Provider with expertise in the provisioning of tools, machinery, equipment and consumables in all three (3) areas of specialization in the subject electrical technology in the Eastern Cape Department of Education for a period of three (3) years",0001-01-01T00:00:00Z,pdf,2025-11-17T19:26:18Z,ocds-9t57fa-125566,ocds-9t57fa-125566-2019-08-02T00:00:00Z,4032
66de3c18-8f7f-4fb1-abbc-ed6738f29676.pdf,Purchase Order #53035.pdf,pdf,en,Request for Proposals for the Appointment of a Panel of Legal Attorneys who will Render Specialized Legal Services to SALGA for a Period of 36 x Months (SALGA/75/2019),0001-01-01T00:00:00Z,pdf,2022-08-26T10:08:33Z,ocds-9t57fa-30982,ocds-9t57fa-30982-2019-02-15T00:00:00Z,273
48b0f6e8-e61d-49a4-b25c-a2dfee5f9386.pdf,KHUMZI_TOOLS SLA.pdf,pdf,en,"To source a Service Provider with expertise in the provisioning of tools, machinery, equipment and consumables in all three (3) areas of specialization in the subject electrical technology in the Eastern Cape Department of Education for a period of three (3) years",0001-01-01T00:00:00Z,pdf,2025-10-31T14:14:17Z,ocds-9t57fa-119529,ocds-9t57fa-119529-2019-06-07T00:00:00Z,3949
3356de13-aec6-4459-8591-555052ed7b40.pdf,doc03063420230220083617.pdf,pdf,en,THE APPOINTMENT OF SERVICE PROVIDER TO AUDIT AGRICULTURAL RELATED FOOD BUSINESS OPERATORS TOWARDS SOUTH AFRICA GOOD AGRICULTURAL PRACTICE (SAGAP) CERTIFICATION FOR A PERIOD OF 3 YEARS,0001-01-01T00:00:00Z,pdf,2023-02-20T09:07:27Z,ocds-9t57fa-46931,ocds-9t57fa-46931-2019-06-11T00:00:00Z,782
a53a0840-60dd-4ebc-b531-1e449de6b406.pdf,SLA JENN TRADING (1) (1).pdf,pdf,en,Provide intensive support to learners from under-performing schools in the 12 Districts for Eastern Cape Department of Education for period of three (3) years.,0001-01-01T00:00:00Z,pdf,2025-10-31T14:01:33Z,ocds-9t57fa-125552,ocds-9t57fa-125552-2019-05-17T00:00:00Z,3948
044dc9e4-762a-4097-8fbc-59023884508f.pdf,Breitech.pdf,pdf,en,"Provision of integrated computerised ERP system for Accounting, Projects and SCM",0001-01-01T00:00:00Z,pdf,2022-12-02T09:48:47Z,ocds-9t57fa-42170,ocds-9t57fa-42170-2019-10-01T00:00:00Z,561
