id,name,main_ocid,main_id,awards_id
0,MULTI CEDAR CONSULTANTS,ocds-9t57fa-36708,ocds-9t57fa-36708-2022-10-14T00:00:00Z,7029
0,GEOSPACE INTERNATIONAL,ocds-9t57fa-36778,ocds-9t57fa-36778-2022-10-14T00:00:00Z,8076
0,OTIS,ocds-9t57fa-36795,ocds-9t57fa-36795-2022-10-14T00:00:00Z,11597
0,DINOKANA OFFICE EQUIPMENT,ocds-9t57fa-37250,ocds-9t57fa-37250-2022-08-19T00:00:00Z,5297
0,Seacliffe Trading,ocds-9t57fa-37336,ocds-9t57fa-37336-2022-09-23T00:00:00Z,5326
0,Moreki Distributors,ocds-9t57fa-37473,ocds-9t57fa-37473-2022-10-21T00:00:00Z,10977
0,HOLOBYE TRADING 2,ocds-9t57fa-37510,ocds-9t57fa-37510-2022-10-21T00:00:00Z,15327
0,XTND,ocds-9t57fa-37517,ocds-9t57fa-37517-2022-10-21T00:00:00Z,10990
0,NM Envirotech Solutions ,ocds-9t57fa-37525,ocds-9t57fa-37525-2022-10-21T00:00:00Z,10988
0,IGNITE ADVISORY SERVICES,ocds-9t57fa-37651,ocds-9t57fa-37651-2022-10-21T00:00:00Z,18465
0,DATACENTRIX,ocds-9t57fa-37930,ocds-9t57fa-37930-2022-09-02T00:00:00Z,5524
489447, (GANWA CONSULTING AND DEVELOPMENT),ocds-9t57fa-38257,ocds-9t57fa-38257-2022-10-28T00:00:00Z,27073
0,TSEBO SOLUTIONS GROUP ,ocds-9t57fa-38254,ocds-9t57fa-38254-2022-10-28T00:00:00Z,11970
0,ISIPHOSETHU AMASOYISEL TRADING,ocds-9t57fa-38293,ocds-9t57fa-38293-2022-10-28T00:00:00Z,6503
0,KGOSANAOFENTSE TRADING AND PROJECTS,ocds-9t57fa-38326,ocds-9t57fa-38326-2022-10-28T00:00:00Z,15201
0,SIYAXHATHISA TRADING ,ocds-9t57fa-38840,ocds-9t57fa-38840-2022-11-04T00:00:00Z,7815
0,INCREDIBLE TRANSPORT AND PROJECTS,ocds-9t57fa-38995,ocds-9t57fa-38995-2022-11-04T00:00:00Z,10463
0,CHOMAZ TRADING AND CONSTRUCTION,ocds-9t57fa-39016,ocds-9t57fa-39016-2022-11-04T00:00:00Z,9810
0,CALGARY TRADING,ocds-9t57fa-39118,ocds-9t57fa-39118-2022-11-04T00:00:00Z,10361
0,LANGALIHLE TRADING,ocds-9t57fa-39195,ocds-9t57fa-39195-2022-11-04T00:00:00Z,17194
0,Raubex KZN ,ocds-9t57fa-39208,ocds-9t57fa-39208-2022-11-04T00:00:00Z,10261
0,CONTRACTORS ON CALL,ocds-9t57fa-39683,ocds-9t57fa-39683-2022-11-11T00:00:00Z,18312
42283, (N1 RESTAURANT SUPPLIERS),ocds-9t57fa-39886,ocds-9t57fa-39886-2022-11-11T00:00:00Z,34237
0,FREEZELAND PROPERTIES,ocds-9t57fa-39960,ocds-9t57fa-39960-2022-11-11T00:00:00Z,10093
0,CARIFRO CONSULTING ENGINEERS,ocds-9t57fa-40741,ocds-9t57fa-40741-2022-11-18T00:00:00Z,11489
56733, (IQHINA CONSULTING ENGINEERS AND PROJECT MANAGERS),ocds-9t57fa-40964,ocds-9t57fa-40964-2022-11-18T00:00:00Z,27495
0,BIDVEST SERVICES,ocds-9t57fa-41046,ocds-9t57fa-41046-2022-11-18T00:00:00Z,15482
0,BVI CONSULTING ENGINEERS NORTHERN CAPE,ocds-9t57fa-41050,ocds-9t57fa-41050-2022-11-18T00:00:00Z,9804
0,BVI CONSULTING ENGINEERS NORTHERN CAPE,ocds-9t57fa-41059,ocds-9t57fa-41059-2022-11-18T00:00:00Z,9808
0,TECHEMPIRE,ocds-9t57fa-41137,ocds-9t57fa-41137-2022-11-18T00:00:00Z,10480
0,Ashsons Outfitters,ocds-9t57fa-41188,ocds-9t57fa-41188-2022-11-18T00:00:00Z,13112
279084, (GEONOPLIS AND ASSOCIATES),ocds-9t57fa-41869,ocds-9t57fa-41869-2022-11-25T00:00:00Z,34519
0,INNOVATION GURU,ocds-9t57fa-41927,ocds-9t57fa-41927-2022-11-25T00:00:00Z,12577
0,ROMH CONSULTING,ocds-9t57fa-41951,ocds-9t57fa-41951-2022-11-25T00:00:00Z,13773
0,SUPERIOR QUALITY ENGINEERING AND TECHNOLOGIES 8,ocds-9t57fa-41979,ocds-9t57fa-41979-2022-11-25T00:00:00Z,8673
0,AMAJUDA CIVILS,ocds-9t57fa-41981,ocds-9t57fa-41981-2022-11-25T00:00:00Z,8674
0,NAMBITI TECHNOLOGIES - LIMPOPO,ocds-9t57fa-42264,ocds-9t57fa-42264-2022-12-02T00:00:00Z,10092
0,MASEGARE AND ASSOCIATES,ocds-9t57fa-42540,ocds-9t57fa-42540-2022-12-02T00:00:00Z,9140
0,Gustaph Civils and Trading Enterprise,ocds-9t57fa-42558,ocds-9t57fa-42558-2022-12-02T00:00:00Z,10479
0,Ngwenya Chair Components ,ocds-9t57fa-42571,ocds-9t57fa-42571-2022-12-02T00:00:00Z,10483
0,HEIN BAUMGARTEN,ocds-9t57fa-42588,ocds-9t57fa-42588-2022-12-02T00:00:00Z,11146
0,Smada Security Solutions ,ocds-9t57fa-43125,ocds-9t57fa-43125-2022-12-09T00:00:00Z,13242
20292, (MAP AFRICA CONSULTING ENGINEERS),ocds-9t57fa-43147,ocds-9t57fa-43147-2022-12-09T00:00:00Z,34800
347714, (THUSO ENVIRO AND AGRIC DEVELOPMENT),ocds-9t57fa-43199,ocds-9t57fa-43199-2022-12-09T00:00:00Z,35651
0,Sithabile Technology Services,ocds-9t57fa-43226,ocds-9t57fa-43226-2022-12-09T00:00:00Z,15465
0,Mbita Electrical and Construction,ocds-9t57fa-43246,ocds-9t57fa-43246-2022-12-09T00:00:00Z,19868
0,SPHANABANTU,ocds-9t57fa-43253,ocds-9t57fa-43253-2022-12-09T00:00:00Z,13928
0,Mphuludi Eno Shakers,ocds-9t57fa-43646,ocds-9t57fa-43646-2022-12-15T00:00:00Z,10631
0,MY GRANNY GENERAL TRADING,ocds-9t57fa-43882,ocds-9t57fa-43882-2022-12-15T00:00:00Z,19886
0,22 THUZEN WN ICT,ocds-9t57fa-44581,ocds-9t57fa-44581-2022-11-25T00:00:00Z,7149
0,UPLOAD CONSULTING,ocds-9t57fa-45851,ocds-9t57fa-45851-2022-11-25T00:00:00Z,8080
0,ABSOLUTE HEALTH SERVICES,ocds-9t57fa-49304,ocds-9t57fa-49304-2022-11-04T00:00:00Z,9380
0,SIZWE AFRICA IT GROUP,ocds-9t57fa-50534,ocds-9t57fa-50534-2022-09-09T00:00:00Z,9758
0,Empire Today Enterprise,ocds-9t57fa-51966,ocds-9t57fa-51966-2022-08-19T00:00:00Z,10594
0,EPI-USE AFRICA,ocds-9t57fa-52662,ocds-9t57fa-52662-2022-08-26T00:00:00Z,11008
499934, (EXOCONTECH TRADING),ocds-9t57fa-93297,ocds-9t57fa-93297-2022-09-30T00:00:00Z,29777
78780,MATHEW AND SONS CONSTRUCTION,ocds-9t57fa-141178,ocds-9t57fa-141178-2022-12-09T00:00:00Z,61794
0,Datacentrix,ocds-9t57fa-14498,ocds-9t57fa-14498-2022-01-08T00:00:00Z,1811
0,FARANANI IT SERVICES,ocds-9t57fa-14729,ocds-9t57fa-14729-2022-01-14T00:00:00Z,8873
0,Mtiya Dynamics,ocds-9t57fa-14753,ocds-9t57fa-14753-2022-01-14T00:00:00Z,5184
0,Promolab ,ocds-9t57fa-14764,ocds-9t57fa-14764-2022-01-14T00:00:00Z,2096
0,SOUTHERN AFRICA YOUTH PROJECT,ocds-9t57fa-15227,ocds-9t57fa-15227-2022-01-21T00:00:00Z,3939
0,ACTOM,ocds-9t57fa-15234,ocds-9t57fa-15234-2022-01-21T00:00:00Z,4764
0,MASSTON CONSTRUCTION PROJECTS,ocds-9t57fa-15284,ocds-9t57fa-15284-2022-01-21T00:00:00Z,3134
0,YODH ENGINEERS,ocds-9t57fa-16599,ocds-9t57fa-16599-2022-02-04T00:00:00Z,10411
56984, (SIYEJABULA TRADING),ocds-9t57fa-16690,ocds-9t57fa-16690-2022-02-04T00:00:00Z,30896
0,INNOVO NETWORKS,ocds-9t57fa-17174,ocds-9t57fa-17174-2022-02-11T00:00:00Z,3771
