id,name,main_ocid,main_id,awards_id
0,Konica Minolta ,ocds-9t57fa-60707,ocds-9t57fa-60707-2018-07-30T00:00:00Z,22437
447308,ALTERAM SOLUTIONS,ocds-9t57fa-152357,ocds-9t57fa-152357-2018-07-20T00:00:00Z,66138
0,BEYOND SA ENTERPRISES,ocds-9t57fa-61082,ocds-9t57fa-61082-2018-01-13T00:00:00Z,14007
207081, (DHEVAN MOODLEY),ocds-9t57fa-88783,ocds-9t57fa-88783-2018-11-25T00:00:00Z,43211
58507,MSOMIS TRANSPOTERS OF DANGEROUS GOODS AND MEDICAL WASTE,ocds-9t57fa-146933,ocds-9t57fa-146933-2018-09-14T00:00:00Z,61691
59160,HAMBA NATHI TRAVEL,ocds-9t57fa-125921,ocds-9t57fa-125921-2018-11-30T00:00:00Z,49396
356061, (K2015341754 (SOUTH AFRICA)),ocds-9t57fa-86348,ocds-9t57fa-86348-2018-09-23T00:00:00Z,25857
106102, (Council for Scientific and Industrial Research),ocds-9t57fa-92503,ocds-9t57fa-92503-2018-12-02T00:00:00Z,29320
0,Kayifani Trading,ocds-9t57fa-60756,ocds-9t57fa-60756-2018-01-09T00:00:00Z,13832
