id,title,description,status,value_amount,value_currency,main_ocid,main_id
22437,Konica Minolta ,EME,active,2467851.0,ZAR,ocds-9t57fa-60707,ocds-9t57fa-60707-2018-07-30T00:00:00Z
66138,ALTERAM SOLUTIONS,GEN,active,3129691880.0,ZAR,ocds-9t57fa-152357,ocds-9t57fa-152357-2018-07-20T00:00:00Z
14007,BEYOND SA ENTERPRISES,EME,active,225000.1,ZAR,ocds-9t57fa-61082,ocds-9t57fa-61082-2018-01-13T00:00:00Z
43211, (DHEVAN MOODLEY),EME,active,10.0,ZAR,ocds-9t57fa-88783,ocds-9t57fa-88783-2018-11-25T00:00:00Z
61691,MSOMIS TRANSPOTERS OF DANGEROUS GOODS AND MEDICAL WASTE,EME,active,10.0,ZAR,ocds-9t57fa-146933,ocds-9t57fa-146933-2018-09-14T00:00:00Z
49396,HAMBA NATHI TRAVEL,EME,active,1014412350.0,ZAR,ocds-9t57fa-125921,ocds-9t57fa-125921-2018-11-30T00:00:00Z
25857, (K2015341754 (SOUTH AFRICA)),EME,active,371880.0,ZAR,ocds-9t57fa-86348,ocds-9t57fa-86348-2018-09-23T00:00:00Z
29320, (Council for Scientific and Industrial Research),GEN,active,3952000.0,ZAR,ocds-9t57fa-92503,ocds-9t57fa-92503-2018-12-02T00:00:00Z
13832,Kayifani Trading,EME,active,119200.0,ZAR,ocds-9t57fa-60756,ocds-9t57fa-60756-2018-01-09T00:00:00Z
