id,url,title,format,language,description,dateModified,documentType,datePublished,main_ocid,main_id,tender_id
edbfe362-daa0-40f3-be86-09ccb059ed7f,https://www.etenders.gov.za/home/Download?blobName=edbfe362-daa0-40f3-be86-09ccb059ed7f.pdf&downloadedFileName=HOSTEL%20CATERING%200004%20SPEC.pdf,HOSTEL CATERING 0004 SPEC.pdf,pdf,en,HOSTEL CATERING 0004 SPEC.pdf,2026-02-09T14:41:03Z,basic,2026-02-09T14:41:03Z,ocds-9t57fa-146933,ocds-9t57fa-146933-2018-09-14T00:00:00Z,146933
1cfd920f-e788-4c6a-a382-5b3be1b44e35,https://www.etenders.gov.za/home/Download?blobName=1cfd920f-e788-4c6a-a382-5b3be1b44e35.pdf&downloadedFileName=TRAVEL%20BID%20DOC.pdf,TRAVEL BID DOC.pdf,pdf,en,TRAVEL BID DOC.pdf,2025-06-24T15:15:00Z,basic,2025-06-24T15:15:00Z,ocds-9t57fa-125921,ocds-9t57fa-125921-2018-11-30T00:00:00Z,125921
2d688c3a-494f-4ed2-9cc7-2d4630499d18,https://www.etenders.gov.za/home/Download?blobName=2d688c3a-494f-4ed2-9cc7-2d4630499d18.pdf&downloadedFileName=PO3100034239.pdf,PO3100034239.pdf,pdf,en,PO3100034239.pdf,2023-08-17T14:42:07Z,basic,2023-08-17T14:42:07Z,ocds-9t57fa-63863,ocds-9t57fa-63863-2018-02-10T00:00:00Z,63863
63042244-4c50-4481-9fc3-69b28fbbb375,https://www.etenders.gov.za/home/Download?blobName=63042244-4c50-4481-9fc3-69b28fbbb375.pdf&downloadedFileName=Mathsway%20PO.pdf,Mathsway PO.pdf,pdf,en,Mathsway PO.pdf,2023-10-19T06:47:34Z,basic,2023-10-19T06:47:34Z,ocds-9t57fa-70897,ocds-9t57fa-70897-2018-04-16T00:00:00Z,70897
1e4eaa29-023a-4327-90c5-7d598320ca27,https://www.etenders.gov.za/home/Download?blobName=1e4eaa29-023a-4327-90c5-7d598320ca27.pdf&downloadedFileName=Regret%20Letter%20Template%20for%20Unsuccessful%20Suppliers-boiler%20tubes%20Conny%201.pdf,Regret Letter Template for Unsuccessful Suppliers-boiler tubes Conny 1.pdf,pdf,en,Regret Letter Template for Unsuccessful Suppliers-boiler tubes Conny 1.pdf,2023-12-01T14:16:48Z,basic,2023-12-01T14:16:48Z,ocds-9t57fa-76185,ocds-9t57fa-76185-2018-05-29T00:00:00Z,76185
df5ae998-5839-4e95-bff7-b8ee7ffda1ce,https://www.etenders.gov.za/home/Download?blobName=df5ae998-5839-4e95-bff7-b8ee7ffda1ce.pdf&downloadedFileName=Regret%20Letter%20Template%20for%20Unsuccessful%20Suppliers-Sinkhole.pdf,Regret Letter Template for Unsuccessful Suppliers-Sinkhole.pdf,pdf,en,Regret Letter Template for Unsuccessful Suppliers-Sinkhole.pdf,2023-12-01T14:40:34Z,basic,2023-12-01T14:40:34Z,ocds-9t57fa-76192,ocds-9t57fa-76192-2018-05-29T00:00:00Z,76192
c61303a1-1aac-4499-9f30-e394270b2193,https://www.etenders.gov.za/home/Download?blobName=c61303a1-1aac-4499-9f30-e394270b2193.pdf&downloadedFileName=Regret%20Letter%20Template%20for%20Unsuccessful%20Suppliers-Supply%20and%20delivery%20of%20cables.pdf,Regret Letter Template for Unsuccessful Suppliers-Supply and delivery of cables.pdf,pdf,en,Regret Letter Template for Unsuccessful Suppliers-Supply and delivery of cables.pdf,2023-12-01T14:59:25Z,basic,2023-12-01T14:59:25Z,ocds-9t57fa-76205,ocds-9t57fa-76205-2018-05-29T00:00:00Z,76205
a38635e5-a0e8-4cc9-ad5d-87fa659c5a23,https://www.etenders.gov.za/home/Download?blobName=a38635e5-a0e8-4cc9-ad5d-87fa659c5a23.docx&downloadedFileName=RFx%206000025035%20Day%20To%20Day%20General%20Mainteannce%20Northern%20Cape%20%2800C%29.docx,RFx 6000025035 Day To Day General Mainteannce Northern Cape (00C).docx,docx,en,RFx 6000025035 Day To Day General Mainteannce Northern Cape (00C).docx,2024-03-29T22:59:01Z,basic,2024-03-29T22:59:01Z,ocds-9t57fa-86348,ocds-9t57fa-86348-2018-09-23T00:00:00Z,86348
9d61b3cf-4b99-462b-8c57-90e59f1f5c2e,https://www.etenders.gov.za/home/Download?blobName=9d61b3cf-4b99-462b-8c57-90e59f1f5c2e.pdf&downloadedFileName=Lazoes.pdf,Lazoes.pdf,pdf,en,Lazoes.pdf,2024-05-24T10:06:06Z,basic,2024-05-24T10:06:06Z,ocds-9t57fa-91076,ocds-9t57fa-91076-2018-11-18T00:00:00Z,91076
c623f929-d7c3-45d9-8e35-2b3e8f7e1144,https://www.etenders.gov.za/home/Download?blobName=c623f929-d7c3-45d9-8e35-2b3e8f7e1144.pdf&downloadedFileName=MATLALA%20CONNECTION.pdf,MATLALA CONNECTION.pdf,pdf,en,MATLALA CONNECTION.pdf,2024-05-28T08:32:59Z,basic,2024-05-28T08:32:59Z,ocds-9t57fa-91306,ocds-9t57fa-91306-2018-11-18T00:00:00Z,91306
13daa071-0de4-4d6d-98a3-14e3df7d408d,https://www.etenders.gov.za/home/Download?blobName=13daa071-0de4-4d6d-98a3-14e3df7d408d.pdf&downloadedFileName=NDT0006%20-%2024%20-%20PROPOSAL%20FROM%20SOUTH%20AFRICAN%20PUBLIC%20HIGHER%20EDUCATION%20AND%20RESEARCH%20INSTITUTIONS..pdf,NDT0006 - 24 - PROPOSAL FROM SOUTH AFRICAN PUBLIC HIGHER EDUCATION AND RESEARCH INSTITUTIONS..pdf,pdf,en,NDT0006 - 24 - PROPOSAL FROM SOUTH AFRICAN PUBLIC HIGHER EDUCATION AND RESEARCH INSTITUTIONS..pdf,2024-06-11T09:28:46Z,basic,2024-06-11T09:28:46Z,ocds-9t57fa-92503,ocds-9t57fa-92503-2018-12-02T00:00:00Z,92503
dac2d55c-0591-4595-8425-b5c95a6e891e,https://www.etenders.gov.za/home/Download?blobName=dac2d55c-0591-4595-8425-b5c95a6e891e.pdf&downloadedFileName=DBAC%20Approval%20Letter%20Tech%20Mahindra%20SAP%20S4%20HANA%20Support.pdf,DBAC Approval Letter Tech Mahindra SAP S4 HANA Support.pdf,pdf,en,DBAC Approval Letter Tech Mahindra SAP S4 HANA Support.pdf,2026-04-01T13:48:57Z,basic,2026-04-01T13:48:57Z,ocds-9t57fa-152673,ocds-9t57fa-152673-2018-10-26T00:00:00Z,152673
8b1ba9cd-2898-4fda-a402-470e6d868837,https://www.etenders.gov.za/home/Download?blobName=8b1ba9cd-2898-4fda-a402-470e6d868837.pdf&downloadedFileName=Catering%20regret%202023%20PDF.pdf,Catering regret 2023 PDF.pdf,pdf,en,Catering regret 2023 PDF.pdf,2023-08-11T10:49:07Z,basic,2023-08-11T10:49:07Z,ocds-9t57fa-51606,ocds-9t57fa-51606-2018-01-31T00:00:00Z,51606
3428e7d0-a527-441e-b402-4755b56e034e,https://www.etenders.gov.za/home/Download?blobName=3428e7d0-a527-441e-b402-4755b56e034e.pdf&downloadedFileName=M%26V%20Regret%20Letter%20Template%20for%20Unsuccessful%20Suppliers.pdf,M&V Regret Letter Template for Unsuccessful Suppliers.pdf,pdf,en,M&V Regret Letter Template for Unsuccessful Suppliers.pdf,2023-07-14T14:49:02Z,basic,2023-07-14T14:49:02Z,ocds-9t57fa-60325,ocds-9t57fa-60325-2018-01-03T00:00:00Z,60325
ac5c9e54-233f-41c2-b073-b2e7d80cdb6a,https://www.etenders.gov.za/home/Download?blobName=ac5c9e54-233f-41c2-b073-b2e7d80cdb6a.pdf&downloadedFileName=Evaluation.pdf,Evaluation.pdf,pdf,en,Evaluation.pdf,2023-07-20T06:56:01Z,basic,2023-07-20T06:56:01Z,ocds-9t57fa-60756,ocds-9t57fa-60756-2018-01-09T00:00:00Z,60756
d9764f19-d7a8-4908-99b3-b2c243b500aa,https://www.etenders.gov.za/home/Download?blobName=d9764f19-d7a8-4908-99b3-b2c243b500aa.pdf&downloadedFileName=PUBLICATION%20OF%20BIDDERS%20AWARDED%20FP1122%20PANEL%20OF%20MEDIA%20BUYER.pdf,PUBLICATION OF BIDDERS AWARDED FP1122 PANEL OF MEDIA BUYER.pdf,pdf,en,PUBLICATION OF BIDDERS AWARDED FP1122 PANEL OF MEDIA BUYER.pdf,2023-08-31T13:27:17Z,basic,2023-08-31T13:27:17Z,ocds-9t57fa-65552,ocds-9t57fa-65552-2018-02-24T00:00:00Z,65552
f633dd1c-c49d-4880-80f3-51e7048cedfb,https://www.etenders.gov.za/home/Download?blobName=f633dd1c-c49d-4880-80f3-51e7048cedfb.pdf&downloadedFileName=Regret%20Letter%20Template%20for%20Unsuccessful%20Suppliers-RBI.pdf,Regret Letter Template for Unsuccessful Suppliers-RBI.pdf,pdf,en,Regret Letter Template for Unsuccessful Suppliers-RBI.pdf,2023-12-01T14:27:14Z,basic,2023-12-01T14:27:14Z,ocds-9t57fa-76187,ocds-9t57fa-76187-2018-05-29T00:00:00Z,76187
f0566574-5f12-42ec-b2cc-92ac56ee8426,https://www.etenders.gov.za/home/Download?blobName=f0566574-5f12-42ec-b2cc-92ac56ee8426.pdf&downloadedFileName=Regret%20Letter%20Template%20for%20Unsuccessful%20Suppliers-HP%20PIPING%20Material.pdf,Regret Letter Template for Unsuccessful Suppliers-HP PIPING Material.pdf,pdf,en,Regret Letter Template for Unsuccessful Suppliers-HP PIPING Material.pdf,2023-12-01T14:48:53Z,basic,2023-12-01T14:48:53Z,ocds-9t57fa-76198,ocds-9t57fa-76198-2018-05-29T00:00:00Z,76198
b5e2c560-0ee3-4f9d-926e-790f542ad99b,https://www.etenders.gov.za/home/Download?blobName=b5e2c560-0ee3-4f9d-926e-790f542ad99b.pdf&downloadedFileName=Regret%20Letter%20Template%20for%20Unsuccessful%20Suppliers-Non%20lethal%20Fence%20Refurbishment.pdf,Regret Letter Template for Unsuccessful Suppliers-Non lethal Fence Refurbishment.pdf,pdf,en,Regret Letter Template for Unsuccessful Suppliers-Non lethal Fence Refurbishment.pdf,2023-12-01T14:53:10Z,basic,2023-12-01T14:53:10Z,ocds-9t57fa-76203,ocds-9t57fa-76203-2018-05-29T00:00:00Z,76203
1b284488-b18b-4053-b984-408d77a05845,https://www.etenders.gov.za/home/Download?blobName=1b284488-b18b-4053-b984-408d77a05845.pdf&downloadedFileName=Purchase%20Order%2059847.pdf,Purchase Order 59847.pdf,pdf,en,Purchase Order 59847.pdf,2024-01-08T20:48:33Z,basic,2024-01-08T20:48:33Z,ocds-9t57fa-77764,ocds-9t57fa-77764-2018-06-30T00:00:00Z,77764
56854f26-26af-456f-8682-4acb5eeb3851,https://www.etenders.gov.za/home/Download?blobName=56854f26-26af-456f-8682-4acb5eeb3851.pdf&downloadedFileName=Regret%20Letter%20Template%20for%20Unsuccessful%20Suppliers%20-%20Once%20off%20Supply%20and%20Delivery%20of%205%20Complete%20Solar%20Floodlight%20-%20MWP2397CX.pdf,Regret Letter Template for Unsuccessful Suppliers - Once off Supply and Delivery of 5 Complete Solar Floodlight - MWP2397CX.pdf,pdf,en,Regret Letter Template for Unsuccessful Suppliers - Once off Supply and Delivery of 5 Complete Solar Floodlight - MWP2397CX.pdf,2024-05-09T14:31:45Z,basic,2024-05-09T14:31:45Z,ocds-9t57fa-89645,ocds-9t57fa-89645-2018-10-30T00:00:00Z,89645
2a7a789d-0e17-4351-b6cc-7f5e92368367,https://www.etenders.gov.za/home/Download?blobName=2a7a789d-0e17-4351-b6cc-7f5e92368367.pdf&downloadedFileName=RUDZ%20SUPPLIES%20AND%20CONSULTING.pdf,RUDZ SUPPLIES AND CONSULTING.pdf,pdf,en,RUDZ SUPPLIES AND CONSULTING.pdf,2024-05-28T08:27:46Z,basic,2024-05-28T08:27:46Z,ocds-9t57fa-91303,ocds-9t57fa-91303-2018-11-18T00:00:00Z,91303
79f8cd72-475d-4218-a020-ff42771fcbbc,https://www.etenders.gov.za/home/Download?blobName=79f8cd72-475d-4218-a020-ff42771fcbbc.pdf&downloadedFileName=KHALID%20SUPPLIES.pdf,KHALID SUPPLIES.pdf,pdf,en,KHALID SUPPLIES.pdf,2024-05-28T08:36:22Z,basic,2024-05-28T08:36:22Z,ocds-9t57fa-91307,ocds-9t57fa-91307-2018-11-18T00:00:00Z,91307
394de3d4-4b9a-4891-b06c-0d109eeb84e5,https://www.etenders.gov.za/home/Download?blobName=394de3d4-4b9a-4891-b06c-0d109eeb84e5.pdf&downloadedFileName=Alterum%20Solution%28%20SAP%20Support%29.pdf,Alterum Solution( SAP Support).pdf,pdf,en,Alterum Solution( SAP Support).pdf,2026-03-30T10:48:52Z,basic,2026-03-30T10:48:52Z,ocds-9t57fa-152353,ocds-9t57fa-152353-2018-07-20T00:00:00Z,152353
