id,url,title,format,language,description,dateModified,documentType,datePublished,main_ocid,main_id,tender_id
d7421849-4d46-4397-b9ca-70ac1f5a03c7,https://www.etenders.gov.za/home/Download?blobName=d7421849-4d46-4397-b9ca-70ac1f5a03c7.pdf&downloadedFileName=Q051%202022%2023%20FELEMACH.pdf,Q051 2022 23 FELEMACH.pdf,pdf,en,Q051 2022 23 FELEMACH.pdf,2023-07-13T08:26:25Z,basic,2023-07-13T08:26:25Z,ocds-9t57fa-60091,ocds-9t57fa-60091-2018-01-02T00:00:00Z,60091
8d3a2118-ba94-4339-8e9a-3f2bcff54581,https://www.etenders.gov.za/home/Download?blobName=8d3a2118-ba94-4339-8e9a-3f2bcff54581.docx&downloadedFileName=1Annexure%20B%20-%20Publication%20of%20award%20Form.docx,1Annexure B - Publication of award Form.docx,docx,en,1Annexure B - Publication of award Form.docx,2024-02-07T16:02:41Z,basic,2024-02-07T16:02:41Z,ocds-9t57fa-60707,ocds-9t57fa-60707-2018-07-30T00:00:00Z,60707
409890ba-7614-473c-be28-47108ceee360,https://www.etenders.gov.za/home/Download?blobName=409890ba-7614-473c-be28-47108ceee360.pdf&downloadedFileName=Regret%20Letter%20Template%20for%20Unsuccessful%20Suppliers%20-%20Once%20off%20Supply%20and%20Delivery%20of%205%20Complete%20Solar%20Floodlight%20-%20MWP2397CX.pdf,Regret Letter Template for Unsuccessful Suppliers - Once off Supply and Delivery of 5 Complete Solar Floodlight - MWP2397CX.pdf,pdf,en,Regret Letter Template for Unsuccessful Suppliers - Once off Supply and Delivery of 5 Complete Solar Floodlight - MWP2397CX.pdf,2024-05-09T14:22:51Z,basic,2024-05-09T14:22:51Z,ocds-9t57fa-89642,ocds-9t57fa-89642-2018-10-30T00:00:00Z,89642
614c2c4d-af76-45c1-be24-0760ef7f78dd,https://www.etenders.gov.za/home/Download?blobName=614c2c4d-af76-45c1-be24-0760ef7f78dd.pdf&downloadedFileName=think%20n%20think%20.pdf,think n think .pdf,pdf,en,think n think .pdf,2024-05-24T10:08:16Z,basic,2024-05-24T10:08:16Z,ocds-9t57fa-91078,ocds-9t57fa-91078-2018-11-18T00:00:00Z,91078
29ea033c-459e-448c-8058-481ddcdc69a4,https://www.etenders.gov.za/home/Download?blobName=29ea033c-459e-448c-8058-481ddcdc69a4.pdf&downloadedFileName=WOLTERS%20KLUWER%20AUDIT.pdf,WOLTERS KLUWER AUDIT.pdf,pdf,en,WOLTERS KLUWER AUDIT.pdf,2024-05-28T08:45:19Z,basic,2024-05-28T08:45:19Z,ocds-9t57fa-91310,ocds-9t57fa-91310-2018-11-18T00:00:00Z,91310
1d2c4597-30f9-47b1-889b-e4e204971be2,https://www.etenders.gov.za/home/Download?blobName=1d2c4597-30f9-47b1-889b-e4e204971be2.pdf&downloadedFileName=Alterum%20Solution%28%20SAP%20Support%29.pdf,Alterum Solution( SAP Support).pdf,pdf,en,Alterum Solution( SAP Support).pdf,2026-03-30T10:57:04Z,basic,2026-03-30T10:57:04Z,ocds-9t57fa-152357,ocds-9t57fa-152357-2018-07-20T00:00:00Z,152357
dd108b56-c4b9-43b4-8880-5f1aa7ed405c,https://www.etenders.gov.za/home/Download?blobName=dd108b56-c4b9-43b4-8880-5f1aa7ed405c.pdf&downloadedFileName=Regret%20Letter%202023%20-%20Ash%20Monitoring%2024%20months.pdf,Regret Letter 2023 - Ash Monitoring 24 months.pdf,pdf,en,Regret Letter 2023 - Ash Monitoring 24 months.pdf,2023-11-15T08:53:57Z,basic,2023-11-15T08:53:57Z,ocds-9t57fa-56746,ocds-9t57fa-56746-2018-05-07T00:00:00Z,56746
00f4a87e-ccbb-4f0e-b080-7613fa4183d5,https://www.etenders.gov.za/home/Download?blobName=00f4a87e-ccbb-4f0e-b080-7613fa4183d5.pdf&downloadedFileName=Q053%202022%202023%20SHARLYN%20GENERAL%20SUPPLIES%202ND.pdf,Q053 2022 2023 SHARLYN GENERAL SUPPLIES 2ND.pdf,pdf,en,Q053 2022 2023 SHARLYN GENERAL SUPPLIES 2ND.pdf,2023-07-13T08:31:26Z,basic,2023-07-13T08:31:26Z,ocds-9t57fa-60092,ocds-9t57fa-60092-2018-01-02T00:00:00Z,60092
4f169b54-e943-4bfb-99c1-e559bac19537,https://www.etenders.gov.za/home/Download?blobName=4f169b54-e943-4bfb-99c1-e559bac19537.pdf&downloadedFileName=Purchase%20order%20destruction%20Beyond%20SA%20%28002%29.pdf,Purchase order destruction Beyond SA (002).pdf,pdf,en,Purchase order destruction Beyond SA (002).pdf,2023-07-24T08:56:54Z,basic,2023-07-24T08:56:54Z,ocds-9t57fa-61082,ocds-9t57fa-61082-2018-01-13T00:00:00Z,61082
40ee6b8d-c162-4fb4-9513-04a118fbfdbe,https://www.etenders.gov.za/home/Download?blobName=40ee6b8d-c162-4fb4-9513-04a118fbfdbe.pdf&downloadedFileName=Incident%20Management%20Procedure%2032-95%20rev%209.pdf,Incident Management Procedure 32-95 rev 9.pdf,pdf,en,Incident Management Procedure 32-95 rev 9.pdf,2024-04-30T12:10:01Z,basic,2024-04-30T12:10:01Z,ocds-9t57fa-88783,ocds-9t57fa-88783-2018-11-25T00:00:00Z,88783
